baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
Imelda,McCarron,9,NA,33,Countryside recreation officer,County Tyrone,NA,NA,NA,NA
Jamie,Finn,10,NA,20,Part-time waiter,Surrey,NA,NA,NA,NA
Jon,Jenkins,9,NA,47,Blood courier,Newport,NA,NA,NA,NA
Karen,Wright,9,NA,60,In-store sampling assistant,Wakefield,NA,NA,NA,NA
Kim-Joy,Hewlett,9,NA,27,Mental health specialist,Leeds,NA,NA,NA,NA
Luke,Thompson,9,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA,NA,NA
Manon,Lagrave,9,NA,26,Software project manager,London,NA,NA,NA,NA
Michael,Chakraverty,10,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,NA,NA
Michelle,Evans-Fecci,10,NA,35,Print shop administrator,"Tenby, Wales",NA,NA,NA,NA
Phil,Thorne,10,NA,56,HGV driver,Rainham,NA,NA,NA,NA
Priya,O'Shea,10,NA,34,Marketing consultant,Leicester,NA,NA,NA,NA
Rahul,Mandal,9,NA,30,Research scientist,Rotherham,NA,NA,NA,NA
Rosie,Brandreth-Poynter,10,NA,28,Veterinary surgeon,Somerset,NA,NA,NA,NA
Ruby,Bhogal,9,NA,29,Project manager,London,NA,NA,NA,NA
Steph,Blackwell,10,NA,28,Shop assistant,Chester,NA,NA,NA,NA
Terry,Hartill,9,NA,56,Retired air steward,West Midlands,NA,NA,NA,NA
